"","Haemophilus_influenzae","Pseudomonas_aeruginosa","Haemophilus_aegyptius","Prevotella_jejuni","Leptotrichia_wadei","Proteus_mirabilis","Enterobacter_ludwigii","Haemophilus_parahaemolyticus","Klebsiella_pneumoniae","Streptococcus_oralis","Enterobacter_kobei","Haemophilus_haemolyticus","Actinomyces_oris","Klebsiella_oxytoca","Salmonella_enterica"
"IT230",41.5871804654712,0.495993895459748,0.877527661198016,0,0,0,0,0,0.267073636016788,0.152613506295307,0,0.267073636016788,0,0.0381533765738268,0.419687142312095
"IT254",1.17351215423303,0.230511316010059,0,0.377200335289187,2.74518021793797,0,0,0.167644593461861,0.251466890192791,1.04777870913663,0,2.03269069572506,1.04777870913663,0,0.0628667225481978
"IT311",0.0263177682532521,0.0150387247161441,0,0.281976088427701,0,0,0,0.0112790435371081,0,0.691781336942627,0,0.00751936235807204,0.251898638995413,0,0.0150387247161441
"IT202",63.8708407166765,0.078755660563103,0.354400472533963,0.27564481197086,1.77200236266982,0,0,0,0.157511321126206,0.236266981689309,0,1.06320141760189,0.0196889151407757,0,0.0393778302815515
"IT226",73.0628152223751,0.458505272810637,0.481430536451169,0,0.183402109124255,0,0,0.917010545621275,0.0917010545621275,1.077487391105,0,1.37551581843191,0,0,0
"TBE0005",0.0770152319014205,95.3534143419476,0,0,0.0427862399452336,0,0,0,3.16618175594729,0.00855724798904672,0,0.00855724798904672,0,0.00855724798904672,0
"TH0008",83.3433393369355,0.0266826762724301,0.793809619104796,0.00667066906810753,0.0200120072043226,0,0,0.280168100860516,0,0.0333533453405377,0,1.40751117337069,0.00667066906810753,0,0.0200120072043226
"TBE0015",0.727435510044206,0.00559565776957081,0,1.23664036707515,2.34458060545017,0,0,14.8508757204409,0.0447652621565665,2.06479771697163,0,0.912092216440043,0.442056963796094,0,0.0223826310782833
"TBE0013",0.264620269912675,0.145541148451971,0,0.277851283408309,0.0793860809738026,0,0,0.0661550674781688,0.10584810796507,0.330775337390844,0,0.0793860809738026,0.0661550674781688,0,0.0264620269912675
"SBE0007",0.266311584553928,0.00832223701731025,0,2.762982689747,6.17509986684421,0,0,0.515978695073236,0.0166444740346205,1.16511318242344,0,0.382822902796272,0.249667110519308,0,0.0499334221038615
"IT236",3.56353231889713,76.1997658993367,0.013005592404734,0.104044739237872,0.468201326570425,0,0,0,3.0953309923267,0.273117440499415,0,0.117050331642606,0.0390167772142021,0,0.0390167772142021
"IT309",5.74765637006301,1.38312586445367,0.0153680651605963,0.0768403258029814,0.0461041954817888,0,0,0.0922083909635777,0.107576456124174,4.33379437528815,0,1.47533425541724,0.0614722606423851,0,0.0614722606423851
