,Class_average Accuracy,n_estimators,max_depth,min_samples_split,min_samples_leaf,training_Acc
191,0.6298747763864043,150,6,11,11,0.8806954756690344
192,0.6067382230172929,150,6,6,12,0.8724961273436245
193,0.6107334525939176,150,6,7,12,0.8724427113936218
194,0.5913536076326774,150,6,8,12,0.8725762512686286
195,0.5990459153249851,150,6,9,12,0.8711073126435551
196,0.6146094215861657,150,6,10,12,0.8714545163185725
197,0.6028622540250448,150,6,11,12,0.8728166230436406
198,0.5839594514013119,150,7,6,2,0.9915869878745793
199,0.5916517590936196,150,7,7,2,0.9895304737994767
200,0.6225402504472272,150,7,8,2,0.9869932161743495
201,0.5917113893858079,150,7,9,2,0.984723038299236
202,0.58783542039356,150,7,10,2,0.9810907536990545
203,0.6032796660703638,150,7,11,2,0.9776988408738849
204,0.5993440667859273,150,7,6,3,0.9860851450243043
205,0.6032796660703638,150,7,7,3,0.9832540996741627
206,0.6186642814549791,150,7,8,3,0.9799957267239997
207,0.6109123434704831,150,7,9,3,0.9766038138988302
208,0.5838998211091234,150,7,10,3,0.9737727685486887
209,0.5800834824090638,150,7,11,3,0.9712622188985631
