,params,mean_train_Acc,mean_test_Acc
77,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.2759591836734694, 'n_estimators': 150}",0.8129031727212187,0.56599922976656
78,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.28614285714285714, 'n_estimators': 150}",0.803805013530836,0.5612188450448315
79,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.2963265306122449, 'n_estimators': 150}",0.7952862006002585,0.5689768732472252
80,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.30651020408163265, 'n_estimators': 150}",0.7913056903934271,0.5716369435557136
81,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.3166938775510204, 'n_estimators': 150}",0.7839655668344601,0.5639395465497491
82,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.32687755102040816, 'n_estimators': 150}",0.776825608545449,0.5658992969151162
83,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.3370612244897959, 'n_estimators': 150}",0.7683592765247801,0.5684926136588062
84,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.3472448979591837, 'n_estimators': 150}",0.767725029544571,0.5718351305446931
85,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.35742857142857143, 'n_estimators': 150}",0.7522352943315057,0.5682114784532131
86,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.3676122448979592, 'n_estimators': 150}",0.7521720509856102,0.5747412805624679
87,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.37779591836734694, 'n_estimators': 150}",0.7482091809085829,0.5707557175020737
88,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.3879795918367347, 'n_estimators': 150}",0.7434815384391655,0.5707722083975194
89,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.39816326530612245, 'n_estimators': 150}",0.740920965118373,0.5709732590749299
90,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.4083469387755102, 'n_estimators': 150}",0.7396245465662216,0.5785438638069281
91,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.41853061224489796, 'n_estimators': 150}",0.7296860373405738,0.5592082395228503
92,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.4287142857142857, 'n_estimators': 150}",0.7252617426570568,0.5758810285578859
93,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.43889795918367347, 'n_estimators': 150}",0.7253731651463456,0.5795175178733656
94,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.4490816326530612, 'n_estimators': 150}",0.7219879047969776,0.5690359244776237
95,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.459265306122449, 'n_estimators': 150}",0.7110958223570387,0.5753650709009757
96,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.46944897959183673, 'n_estimators': 150}",0.71609177722089,0.5655601967057708
97,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.4796326530612245, 'n_estimators': 150}",0.7145033197276467,0.5756903464075522
98,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.48981632653061224, 'n_estimators': 150}",0.7083117090170928,0.5704992692657109
99,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.5, 'n_estimators': 150}",0.7163616678920768,0.5646978314966228
100,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.001, 'n_estimators': 150}",0.9838749613450511,0.5343705810325078
101,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.011183673469387756, 'n_estimators': 150}",0.9860921183254184,0.539402674092507
102,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.02136734693877551, 'n_estimators': 150}",0.9861645704242912,0.5267388513646957
103,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.031551020408163266, 'n_estimators': 150}",0.9860313193837621,0.5401999644507643
104,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.04173469387755102, 'n_estimators': 150}",0.9851006408060248,0.5367145593869732
105,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.051918367346938776, 'n_estimators': 150}",0.9840411893876501,0.529418868744322
106,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.06210204081632653, 'n_estimators': 150}",0.9752275274134695,0.5352642493186397
107,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.02136734693877551, 'min_samples_split': 0.07228571428571429, 'n_estimators': 150}",0.9669081333861993,0.547055832049611
